review_id,shoe_id,critic_id,rating,date,type,description
71,2,9,8.0,2025-05-15,fit,"The toe box is spacious, but the midfoot area pinches. The rest of the fit feels comfortable."
72,2,10,8.0,2025-05-15,fit,"The shoe fits me pretty well. It's snug, but that's not an issue."
73,2,1,7.0,2025-05-15,fit,The lacing helps with the fit and lockdown.
74,2,5,0.0,2025-05-15,outdoor,The rubber is too soft and thin for outdoor play.
75,2,8,50.0,2025-06-08,outdoor,This outsole is not made for outdoor play.
76,2,9,0.0,2025-05-15,outdoor,I don't think the durability will be as good.
77,2,1,0.0,2025-05-15,outdoor,I would not take this pair outdoors.
78,2,6,2,2025-05-15,width,The forefoot is slightly narrow.
79,2,7,2,2025-05-15,width,The forefoot taper causes a slightly narrow fit.
80,2,9,2,2025-05-15,width,The midfoot pinches my feet a lot.
81,2,1,3,2025-05-15,width,2E feet can go true to size for a performance fit or up half a size for a roomier fit.
82,2,5,3,2025-05-15,size,I feel like the shoe runs true to size.
83,2,6,3,2025-05-15,size,I would say the Luka 4 runs true to size.
84,2,7,2,2025-05-15,size,I recommend going up half a size if you want wiggle room.
85,2,8,3,2025-06-08,size,I recommend going true to size.
86,2,9,3,2025-05-15,size,I recommend going true to size.
87,2,10,3,2025-05-15,size,I recommend going true to size.
88,2,1,3,2025-05-15,size,Narrow and medium feet can go true to size.
89,3,1,8.9,2025-04-12,expert_overall,"The Anta KAI 2 is a well-balanced shoe with very few faults. I always felt confident with the traction, and the cushioning is very bouncy."
90,3,10,8.8,2025-04-12,expert_overall,"The Anta KAI 2 is one of my favourite shoes of the year. The cushioning is impressive, the materials work well, and I like the support."
91,3,5,8.2,2025-04-12,expert_overall,"I enjoy playing in the Anta KAI 2. I like the traction, cushioning, and fit."
92,3,3,8.0,2025-04-12,expert_overall,"The Anta KAI 2 truly feels like a Kyrie shoe. It's responsive and has impressive cushioning, but lacks cushioning."
93,3,1,10.0,2025-04-12,traction,"I never slipped out of this traction, and I always felt confident."
94,3,10,9.0,2025-04-12,traction,The traction feels freaking nice. It performs well right out of the box. Make sure to wipe to avoid potential slippage.
95,3,5,9.0,2025-04-12,traction,The traction pattern performs well and moves with you.
96,3,3,9.0,2025-04-12,traction,The traction performance was surprisingly effective.
97,3,1,9.5,2025-04-12,cushion,There is a low stack of foam underfoot with a top-loaded shank. It's bouncy and makes it easy to transition.
98,3,10,9.0,2025-04-12,cushion,"I like how the foam feels. Impact protection is phenomenal, and the heel is soft and comfortable."
99,3,5,8.0,2025-04-12,cushion,I like the cushioning. It feels consistent and balanced.
100,3,3,7.0,2025-04-12,cushion,"Cushioning feels like a slight downgrade. It's not as soft, but it is still responsive."
101,3,1,8.0,2025-04-12,materials,"I love the body of the uppers. It feels tough and rugged, while breaking in nicely. There's also a massive amount of padding around the heel."
102,3,10,8.0,2025-04-12,materials,I like the material. It feels comfortable yet durable.
103,3,5,8.0,2025-04-12,materials,"The materials are soft after an initial break-in period. My only complaint is the weight, but it's not a major issue."
104,3,3,8.0,2025-04-12,materials,Materials get a pass.
105,3,1,8.0,2025-04-12,support,"I like how the shank performs, and the heel lockdown is only mild."
106,3,10,9.0,2025-04-12,support,"I was good to go with the support and lockdown, and I didn't have any issues with the containment, either."
107,3,5,8.0,2025-04-12,support,Most of the lockdown comes from the sizing and heel counter.
108,3,3,8.0,2025-04-12,support,"Lockdown is improved, and I enjoyed the fit."
109,3,1,9.0,2025-04-12,fit,The fit is fairly generous.
110,3,10,9.0,2025-04-12,fit,The upper construction helps provide a 1-to-1 fit. It feels like a glove.
111,3,5,8.0,2025-04-12,fit,I like the snug fit.
112,3,3,8.0,2025-04-12,fit,"There's no heel slippage, and the fit feels better."
113,3,1,50.0,2025-04-12,outdoor,The shoe will be decent on outdoor courts.
114,3,10,50.0,2025-04-12,outdoor,The durability feels okay.
115,3,5,0.0,2025-04-12,outdoor,I would stay inside with this pair.
116,3,3,3,2025-04-12,width,The width is average.
117,3,10,3,2025-04-12,size,I recommend going true to size.
118,3,5,3,2025-04-12,size,I went true to size and was comfortable.
119,3,3,3,2025-04-12,size,The best option is to go true to size.
120,4,7,9.4,2025-04-28,expert_overall,I love the Way of Wade 808 5 Ultra. Li-Ning stepped up and improved an already good shoe. This shoe has my favourite drop-in midsole ever.
121,4,10,9.0,2025-04-12,expert_overall,"This shoe is extremely lightweight, has phenomenal traction, and outstanding cushioning."
122,4,9,9.0,2025-04-20,expert_overall,"The Way of Wade 808 5 Ultra offers insane performance at its price point. The traction is the standout feature, but the cushioning is also impressive."
123,4,1,8.8,2025-04-12,expert_overall,"The Li-Ning Way of Wade 808 5 Ultra is a lively shoe. The bounce is incredible, and the traction is also top-notch."
124,4,3,8.6,2025-04-12,expert_overall,"The Way of Wade 808 5 Ultra is lighter, breathable, and bouncier. It's an all-around upgrade and one of the best performers available."
125,4,6,8.6,2025-04-20,expert_overall,The Li-Ning Way of Wade 808 5 Ultra is worth the money. The drop-in midsole feels crazy and is one of the best available.
126,4,2,8.6,2025-04-28,expert_overall,The Way of Wade 808 5 Ultra is a solid performer after an initial break-in period. I like the traction and cushioning performance. It's lightweight and fast.
127,4,11,9.4,2025-06-21,user_overall,
128,4,12,9.6,2025-06-22,user_overall,
129,4,7,9.5,2025-04-28,traction,The traction performance is superb. I had no issues.
130,4,10,10.0,2025-04-12,traction,The traction performance is amazing. It's top-tier traction and feels phenomenal.
131,4,9,10.0,2025-04-20,traction,The traction performance is insane. This outsole sticks to the court like glue.
132,4,1,10.0,2025-04-12,traction,"The outsole grips well, and the shoe feels ridiculously fast."
133,4,3,9.0,2025-04-12,traction,Traction is excellent. It's exactly what I expected.
134,4,6,9.0,2025-04-20,traction,"You won't have issues with clean courts, and only need occasional wiping on dusty courts."
135,4,2,9.0,2025-04-28,traction,The outsole traction pattern is another highlight. It's one of the shoe's standout features.
136,4,7,10.0,2025-04-28,cushion,The Super Boom drop-in midsole is lighter and offers outstanding compression and bounceback. I love everything about this drop-in; it's my favourite ever.
137,4,10,10.0,2025-04-12,cushion,"The cushioning is my favourite part of this shoe. The step-in comfort is the softest I've felt, and I love the court feel."
138,4,9,10.0,2025-04-20,cushion,"This drop-in midsole offers impact protection, bounce, and energy return. I'm a big fan."
139,4,1,10.0,2025-04-12,cushion,The drop-in midsole feels like a trampoline. The bounce is no joke.
140,4,3,10.0,2025-04-12,cushion,The new drop-in midsole is much better than expected. The Super Boom foam is lighter but just as bouncy. It's also soft and comfortable.
141,4,6,10.0,2025-04-20,cushion,"Cushioning is the biggest selling point. The drop-in midsole feels crazy bouncy and springy, and it provides a lot of impact protection, too."
142,4,2,9.0,2025-04-28,cushion,The drop-in midsole feels nice. It's bouncy with plenty of impact protection.
143,4,7,8.5,2025-04-28,materials,"You won't get any special materials, but the performance feels balanced and comfortable."
144,4,10,8.0,2025-04-12,materials,The upper is a textile mesh material. It's thin and has no break-in time. I like the comfort and air flow.
145,4,9,8.0,2025-04-20,materials,"The materials are thinner and lighter, but still supportive. There's also adequate padding."
146,4,1,8.0,2025-04-12,materials,The padding is moderate and comfortable.
147,4,3,8.0,2025-04-12,materials,The materials are nice and breathable. You get a lot of air flow.
148,4,6,8.0,2025-04-20,materials,"The materials feel iffy, but the mesh on my pair is comfortable."
149,4,2,8.0,2025-04-28,materials,The materials are lightweight and soft. It also feels durable.
150,4,7,9.5,2025-04-28,support,This is a very supportive basketball shoe. It will cater to all of your needs.
151,4,10,9.0,2025-04-12,support,"The support and lockdown are amazing. My foot was well-contained, and I wasn't moving on the footbed."
152,4,9,9.0,2025-04-20,support,"This shoe is very supportive, and I felt locked in."
153,4,1,8.0,2025-04-12,support,I barely had any heel slippage.
154,4,3,8.0,2025-04-12,support,I like the carbon shank and the fit.
155,4,6,8.0,2025-04-20,support,"I like the structured, rigid heel counter and didn't have issues with support and lockdown."
156,4,2,9.0,2025-04-28,support,The shoe's heel counter and lateral containment excel for support.
157,4,7,9.5,2025-04-28,fit,"The toe box is tapered, and there's no volume above my foot. The width and length are solid."
158,4,10,8.0,2025-04-12,fit,"The toe box feels snug, but I like how it feels."
159,4,9,8.0,2025-04-20,fit,The fit is slightly long but not uncomfortable.
160,4,1,8.0,2025-04-12,fit,Fit is the one thing players need to look out for because the shoe is low profile and high off the ground. It's also longer than normal.
161,4,3,8.0,2025-04-12,fit,"The fit is comfortable. It's a bit snug, but it breaks in nicely."
162,4,6,8.0,2025-04-20,fit,I felt comfortable with the fit.
163,4,2,8.0,2025-04-28,fit,The fit feels comfortable after a break-in period. I also like the lacing setup.
164,4,7,50.0,2025-04-28,outdoor,The outdoor performance is also solid.
165,4,10,100.0,2025-04-12,outdoor,The durability should hold up well outdoors.
166,4,9,100.0,2025-04-20,outdoor,This pair is good for outdoor play.
167,4,1,50.0,2025-04-12,outdoor,This is one of the few shoes with a shallow tread pattern that can play outdoors.
168,4,3,50.0,2025-04-12,outdoor,I think this outsole will be fine for outdoor play.
169,4,1,3,2025-04-12,width,Players with 2E feet can go true to size but need an extended break-in time.
170,4,6,3,2025-04-20,width,I have slightly wide feet and had no issues with this shoe.
171,4,10,3,2025-04-12,size,I suggest going true to size.
172,4,9,3,2025-04-20,size,I would go true to size.
173,4,1,3,2025-04-12,size,Narrow feet can go true to size for a regular fit or down half a size for length reduction. Medium feet can go true to size.
174,4,3,3,2025-04-12,size,My recommendation is to stick true to size.
175,4,6,3,2025-04-20,size,I went true to size.
176,4,2,3,2025-04-28,size,I went true to size.
177,5,2,8.4,2025-02-28,expert_overall,"The Jordan Zion 4 provides decent value for the price. The shape and fit are downsides, but the traction is reliable and the cushioning is comfortable."
178,5,7,8.3,2025-03-20,expert_overall,The price point is awesome for what you're getting from the Jordan Zion 4. I love the cushioning setup and the support feels great.
179,5,10,8.0,2025-03-12,expert_overall,I like playing in the Jordan Zion 4 but it's not my type of shoe. I prefer something more fluid. The cushioning feels nice though.
180,5,1,7.8,2025-02-28,expert_overall,"I can recommend the Zion 4 for people with narrow feet. It's bouncy, quick, and fun to play in."
181,5,9,7.6,2025-04-12,expert_overall,"The Jordan Zion 4 is a slightly below-average performer. It doesn't work for my feet, but I like the cushioning setup."
182,5,6,7.4,2025-03-12,expert_overall,"The Jordan Zion 4 is not it for me. My main issue is the heel slippage, but the traction was also lacking."
183,5,3,7.2,2025-05-11,expert_overall,"The Jordan Zion 4 is more spacious and smoother, but the traction and materials are a letdown."
184,5,14,7.7,2025-07-06,user_overall,
185,5,2,8.0,2025-02-28,traction,I like the rubber compound on this year's Zion model.
186,5,7,8.0,2025-03-20,traction,The traction performs well on clean floors but struggles on dirty floors. I enjoyed my time on cleaner courts.
187,5,10,8.0,2025-03-12,traction,You need to break in the traction for a good performance. It feels nice but is not top-tier.
188,5,1,8.0,2025-02-28,traction,Traction feels consistent. I also like the stopping power. They do pick up dust but it's easy to wipe.
189,5,9,8.0,2025-04-12,traction,"The traction performance is a lot better this year. It needs a break-in period, but it grips well afterward."
190,5,6,7.0,2025-03-12,traction,"I can only describe the traction as okay. It's decent and stops well, but it's nothing spectacular."
191,5,3,6.0,2025-05-11,traction,"The traction is meh. It picks up a lot of dust, and the performance is inconsistent."
192,5,2,9.0,2025-02-28,cushion,The cushioning is a huge improvement. The Cushlon 3.0 provides plenty of impact protection and feels bouncy and springy.
193,5,7,9.0,2025-03-20,cushion,The drop-in midsole is thin but feels plush and comfortable. I also like the full-length Zoom under the drop-in setup.
194,5,10,9.0,2025-03-12,cushion,There's a lot of compression under the heel. The cushioning is one of my favourite features.
195,5,1,8.5,2025-02-28,cushion,The cushioning feels incredibly responsive.
196,5,9,9.0,2025-04-12,cushion,"Cushioning is the standout feature and my favourite part of the shoe. The full-length Zoom Strobel unit is bouncy, and the drop-in midsole has plenty of step-in comfort."
197,5,6,8.0,2025-03-12,cushion,The cushioning is comfortable and bouncy. You get a lot of cushion but it's too high off the ground for me.
198,5,3,7.0,2025-05-11,cushion,The drop-in midsole feels sad. It's thin without much bounce back. Most of the bounce comes from the Zoom strobel board.
199,5,2,8.0,2025-02-28,materials,The upper feels supportive and contains my foot well during lateral movements.
200,5,7,8.0,2025-03-20,materials,You're not getting anything premium. The materials are nothing special but they do feel supportive.
201,5,10,7.0,2025-03-12,materials,The materials are stiff and don't get much softer with play. It feels durable and sturdy though.
202,5,1,7.0,2025-02-28,materials,A lot of the upper is basic but beefy. The breathability is impressive.
203,5,9,8.0,2025-04-12,materials,"The material starts stiff, but I like the padding. It becomes more comfortable over time."
204,5,6,8.0,2025-03-12,materials,"Most of the materials are textiles, and it feels stiff and rigid. Overall, the usage is fine. It gets the job done."
205,5,3,7.0,2025-05-11,materials,"The materials don't make sense to me. It's not soft or conforming, and I lacked breathability."
206,5,2,9.0,2025-02-28,support,I like how supportive the upper feels.
207,5,7,9.0,2025-03-20,support,This is a very supportive basketball shoe.
208,5,10,8.0,2025-03-12,support,"The upper is very supportive, and the drop-in midsole helps with containment. I did experience some minor heel slippage."
209,5,1,7.5,2025-02-28,support,I can feel slippage no matter how much I crank down the laces.
210,5,9,6.0,2025-04-12,support,The support is a downer for me. I dislike the lack of a shank plate and had a lot of heel slippage.
211,5,6,6.0,2025-03-12,support,"I had some issues with the support, mainly around the heel. My heel slid up and down, and it didn't get better."
212,5,3,8.0,2025-05-11,support,The support feels decent and playable.
213,5,2,8.0,2025-02-28,fit,The fit caters more towards narrower feet. It feels contained but is not accommodating.
214,5,7,7.5,2025-03-20,fit,"The midfoot is more accommodating this year, but the toe area slants inwards. It takes time to break in the fit."
215,5,10,8.0,2025-03-12,fit,The fit feels decent when you go with your proper size. The toe box is also snug.
216,5,1,8.0,2025-02-28,fit,The upper is fairly low volume. You also lose space and length because of the drop-in midsole.
217,5,9,7.0,2025-04-12,fit,"The fit is not accommodating for my wide feet, but it could be a solid option for players with narrow feet."
218,5,6,8.0,2025-03-12,fit,The fit is slightly more forgiving than the Zion 3. It's close to being a regular fit.
219,5,3,8.0,2025-05-11,fit,The fit feels standard and more accommodating.
220,5,2,0.0,2025-02-28,outdoor,I recommend staying indoors.
221,5,7,0.0,2025-03-20,outdoor,The outsole grooves are too shallow for outdoor use.
222,5,10,0.0,2025-03-12,outdoor,Durability is not the best because of the thinner grooves.
223,5,1,0.0,2025-02-28,outdoor,I don't think this pair is good for outdoor courts.
224,5,9,0.0,2025-04-12,outdoor,The outsole does not feel durable enough for outdoor use.
225,5,3,50.0,2025-05-11,outdoor,The durability for outdoors is fine.
226,5,7,2,2025-03-20,width,Go up half a size if you have a wide foot.
227,5,10,1,2025-03-12,width,The width is very narrow.
228,5,1,1,2025-02-28,width,2E feet can go up half a size for a performance fit or up a full size for a roomier fit.
229,5,9,2,2025-04-12,width,I would not recommend the Zion 4 for people with wide feet.
230,5,6,2,2025-03-12,width,Wider feet might need to go up half a size. It's a narrow shoe.
231,5,3,3,2025-05-11,width,This pair is wider than the Zion 3.
232,5,7,3,2025-03-20,size,I went true to size.
233,5,10,2,2025-03-12,size,I went up half a size.
234,5,1,3,2025-02-28,size,Narrow and medium feet can go true to size. Medium-footers can also consider going up half a size for extra room.
235,5,6,3,2025-03-12,size,I went true to size. Narrow and medium feet can go true to size. Everything else felt fine.
236,5,3,3,2025-05-11,size,Go true to size.
237,6,7,8.4,2025-05-27,expert_overall,"I can recommend the Nike KD 18. The traction performs well, but the cushioning could be better."
238,6,10,8.2,2025-03-12,expert_overall,"The KD 18 feels like a slightly better version of the KD 17. The traction is better, but the cushioning feels the same."
239,6,6,8.2,2025-03-24,expert_overall,"Nike didn't change much on the KD 18, but it's a solid performer. I like the improvements to the materials and the support."
240,6,3,8.2,2025-05-04,expert_overall,"I enjoy the Nike KD 18. There are no gimmicks. The traction and cushioning get the job done, and I like the extra structure of the midfoot caging."
241,6,9,8.2,2025-05-27,expert_overall,I like the Nike KD 18. It's more comfy but also slightly more clunky. There's not much difference from the KD 17.
242,6,1,7.8,2025-02-28,expert_overall,"The Nike KD 18 feels similar to the 17. I'm not a fan of the shank plate, but the shoe's overall performance is decent."
243,6,7,9.0,2025-05-27,traction,"The outsole is the same as last year, which is a good thing. I felt good making lateral and linear movements."
244,6,10,9.0,2025-03-12,traction,The traction performance feels amazing. It's much improved on dust.
245,6,6,8.0,2025-03-24,traction,You won't have issues on clean courts. The bite is solid. Expect to wipe on dustier courts.
246,6,3,8.0,2025-05-04,traction,The traction setup works fine.
247,6,9,8.0,2025-05-27,traction,The traction is good and reliable. I enjoy this setup.
248,6,1,8.0,2025-02-28,traction,The traction performs well as long as you keep the dust off.
249,6,7,7.5,2025-05-27,cushion,"The midsole is the same as last year. The forefoot Zoom unit is fairly muted, but the foam is decent."
250,6,10,8.0,2025-03-12,cushion,The cushioning feels the same as the KD 17. The setup feels soft and comfortable.
251,6,6,8.0,2025-03-24,cushion,The full-length Cushlon and the combination of Zoom and Air feel comfortable and plush.
252,6,3,8.0,2025-05-04,cushion,The foam feels soft and plush. There's a subtle bounce with your movements.
253,6,9,8.0,2025-05-27,cushion,"Cushioning is comfortable, but it's the same as the KD 17."
254,6,1,7.0,2025-02-28,cushion,"The midsole is almost the same. There are only minor changes, but the forefoot Zoom Air unit feels bouncy."
255,6,7,8.5,2025-05-27,materials,"I like the material setup, even if it's synthetic. It feels like an upgrade from last year."
256,6,10,8.0,2025-03-12,materials,The upper materials are thin and breathable. I wish the toe box area were more structured. It feels too soft.
257,6,6,8.0,2025-03-24,materials,"I like the addition of the rubber cage. The rest of the materials feel better, too."
258,6,3,9.0,2025-05-04,materials,The mesh conforms to my feet extremely well. This is the most comfortable Nike shoe.
259,6,9,8.0,2025-05-27,materials,"The reinforced upper is welcome, and I like the lacing setup. The materials are also the biggest change from the KD 17."
260,6,1,9.0,2025-02-28,materials,The upper materials are my favourite part of the shoe. I like the rubber and eyelet setup. The engineering to help with breathability is impressive.
261,6,7,9.0,2025-05-27,support,My foot felt locked in thanks to the side caging and heel counter.
262,6,10,8.0,2025-03-12,support,"I like how supportive the plastic caging feels. The support and containment, in general, feel better this year."
263,6,6,9.0,2025-03-24,support,The upgraded materials are a much-needed improvement for support. I had no issues with the containment.
264,6,3,8.0,2025-05-04,support,The midfoot cage is stronger and more rigid.
265,6,9,9.0,2025-05-27,support,I like the top-loaded shank plate for torsional support. The heel counter and wide base also provide support and stability.
266,6,1,8.0,2025-02-28,support,The upper makes lockdown much better.
267,6,7,8.0,2025-05-27,fit,The fit is tighter than previous models. It could be because of the extra padding.
268,6,10,8.0,2025-03-12,fit,This shoe fits me well.
269,6,6,8.0,2025-03-24,fit,The fit is similar to the KD 17. Most people will be okay with the fit.
270,6,3,8.0,2025-05-04,fit,I needed to go down half a size to get a secure fit. The lacing didn't work at larger sizes.
271,6,9,8.0,2025-05-27,fit,The shoe fits well.
272,6,1,7.0,2025-02-28,fit,The shoe feels tapered. My right foot was going numb after extended play.
273,6,7,50.0,2025-05-27,outdoor,The firmness of the outsole should be decent outdoors.
274,6,10,0.0,2025-03-12,outdoor,The rubber is too soft and the grooves are too thin for outdoor play.
275,6,9,50.0,2025-05-27,outdoor,This outsole is durable enough for outdoors.
276,6,1,50.0,2025-02-28,outdoor,"This outsole does its best on indoor courts, but the performance is okay on outdoor courts."
277,6,3,4,2025-05-04,width,This shoe is wide-foot friendly.
278,6,9,3,2025-05-27,width,The shoe is suitable for people with a wide midfoot.
279,6,1,3,2025-02-28,width,2E feet can go up half a size for a roomier fit.
280,6,10,3,2025-03-12,size,I went true to size.
281,6,6,3,2025-03-24,size,Going true to size is your best bet.
282,6,3,4,2025-05-04,size,I went down half a size.
283,6,9,3,2025-05-27,size,I recommend going true to size.
284,6,1,3,2025-02-28,size,Narrow and medium feet can go true to size.
285,7,10,8.6,2025-03-12,expert_overall,I thoroughly enjoyed playing in the Nike LeBron NXXT Genisus. The only downsides are the shoe's short length and restrictive heel. Everything else performed exceptionally well.
286,7,7,8.2,2025-04-03,expert_overall,"The Nike LeBron NXXT Genisus is a good basketball shoe, but not at the retail price. The traction is consistent, and the support and fit feel secure. I wish they kept the heel Zoom bag, though."
287,7,9,8.2,2025-04-28,expert_overall,"The Nike LeBron NXXT Genisus is a weird basketball shoe. The cushioning takes a step back, but the traction plays well, and I like the fit."
288,7,1,8.1,2025-02-28,expert_overall,The Nike LeBron NXXT Genisus has consistent traction with plenty of rigid containment.
